lot_area,overall_qual,totrms_abvgrd,saleprice
13517,6,6,130500
11492,7,8,220000
7922,5,5,109000
9802,5,7,174000
14235,6,6,138500
16492,6,6,190000
3675,6,5,140000
12160,5,6,142000
15783,5,6,112500
11606,5,9,135000
1680,6,4,85400
7488,7,6,183600
26400,5,7,131000
2645,8,7,200000
9627,7,6,193000
10114,5,7,173500
4571,5,7,98000
8816,5,5,139000
8197,6,7,143500
8640,7,7,215200
8724,5,5,129000
5664,8,5,278000
12867,8,8,344133
7980,6,6,185000
34650,5,5,145000
10573,6,6,187500
8450,5,5,138500
11700,5,7,198000
8250,5,9,119600
8064,5,6,122900
9600,8,9,278000
11435,8,7,230000
9549,8,6,270000
10950,6,5,125000
10637,8,7,297000
9000,6,5,113500
2665,5,6,127000
11751,6,7,190000
9600,7,6,175500
8428,5,5,146000
9937,5,6,147500
13891,10,7,465000
9101,5,4,165500
12150,5,7,131500
11200,5,5,129500
9670,8,9,257076
10998,5,6,117000
7200,7,6,149000
9920,5,6,128000
2448,7,6,155000
2998,6,4,166000
7804,4,7,135000
16692,7,12,250000
1476,4,5,76000
10170,6,5,155000
9364,6,7,158000
2544,7,4,149500
9888,5,5,121000
7942,6,6,136000
15038,6,7,173000
11764,8,9,290000
9000,8,11,303477
20062,7,4,270000
7308,5,6,122250
8750,5,6,153000
8402,5,6,147000
4000,7,5,148500
3363,7,7,130000
13615,9,7,372000
3013,7,6,213490
17485,7,5,308030
23730,7,7,300000
8910,6,6,159500
2522,7,7,137500
8688,7,7,232000
6291,6,4,93850
17529,5,5,105000
6324,4,4,68500
11600,5,12,154300
7288,5,6,129850
4571,5,6,114000
17423,9,9,501837
12665,5,7,153900
9000,4,5,130000
4500,6,4,160500
6373,9,6,310090
10083,7,5,184900
13300,5,4,132000
9600,5,6,163000
3215,7,4,155000
11104,6,7,183000
15295,7,7,211000
9109,7,6,184000
7018,5,8,118858
14112,5,6,180500
3523,8,5,166000
15312,6,6,148000
7450,5,6,124000
7313,9,6,277500
10019,8,9,350000
15401,9,7,387000
9098,4,5,86000
16280,8,6,290000
9392,3,5,44000
12209,6,7,215000
13110,5,6,146500
2651,7,6,165000
8520,6,10,136000
39384,6,4,252000
2628,7,6,175500
6406,5,7,150000
12342,5,6,139900
6240,5,8,162900
10000,6,5,160000
9000,2,5,63900
11088,6,7,184000
17755,5,6,149900
4765,9,5,300000
10532,5,7,145000
15426,6,7,231500
13907,5,6,108000
8750,5,6,120000
9945,5,5,128500
8960,5,5,115000
3500,5,5,110000
24572,9,9,150000
9056,8,6,178000
12320,7,8,199500
8238,6,6,183500
6000,5,7,126000
2529,7,4,148500
10800,5,7,149000
2349,6,6,137900
10846,8,6,324000
5604,5,5,98000
1680,6,5,103400
6342,5,6,94000
4590,8,6,209500
18062,10,10,545224
12900,6,7,159900
19138,4,4,141000
8658,6,9,215000
6897,5,6,127000
9525,5,5,128000
12853,8,6,267916
6240,6,6,127500
7301,7,7,198500
12090,6,7,175500
8826,7,7,217500
8094,4,9,149500
10710,5,5,148800
16056,9,11,556581
8400,6,6,156500
11250,7,8,237000
7535,5,5,120000
12216,6,6,203000
3701,8,5,130000
9760,6,7,167900
9873,4,6,129000
10011,5,6,134450
25339,5,7,112000
8883,7,7,207000
3000,5,11,62500
2448,7,6,154000
7100,5,5,129900
2592,5,4,85000
5700,7,5,116900
2289,6,7,148500
12180,4,5,80000
7400,5,5,152000
8842,5,6,155891
8850,6,7,165000
9215,7,4,204500
9480,5,7,146500
11880,7,7,157000
10800,7,10,184000
7861,6,7,183200
11616,5,6,139000
10542,7,9,341000
1680,6,5,96000
8546,4,5,140000
7407,6,6,149700
